Std Sec#,Section,Occurring LLT,Occurrences,PT,Section Code,LLT Code,PT Code,SPL Set ID,SPL Eff Date,SPL Ver,Trade Name,Generic/Proper Names,Product Names,Product Generic Names,Product NDCs,FDALabel URL,DailyMed URL
6.0,ADVERSE REACTIONS SECTION,Abdominal pain,1,Abdominal pain,34084-4,10000081,10000081,c7d0b43c-7250-4809-8a05-fcde5862f076,20220726,14,"Adenovirus Type 4 and Type 7 Vaccine, Live","ADENOVIRUS TYPE 4 AND TYPE 7 VACCINE, LIVE","Adenovirus Type 4 and Type 7 Vaccine, Live","Adenovirus Type 4 and Type 7 Vaccine, Live",51285-138,https://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/c7d0b43c-7250-4809-8a05-fcde5862f076/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=c7d0b43c-7250-4809-8a05-fcde5862f076
6.0,ADVERSE REACTIONS SECTION,Abdominal pain upper,1,Abdominal pain upper,34084-4,10000087,10000087,c7d0b43c-7250-4809-8a05-fcde5862f076,20220726,14,"Adenovirus Type 4 and Type 7 Vaccine, Live","ADENOVIRUS TYPE 4 AND TYPE 7 VACCINE, LIVE","Adenovirus Type 4 and Type 7 Vaccine, Live","Adenovirus Type 4 and Type 7 Vaccine, Live",51285-138,https://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/c7d0b43c-7250-4809-8a05-fcde5862f076/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=c7d0b43c-7250-4809-8a05-fcde5862f076
6.0,ADVERSE REACTIONS SECTION,Anaphylaxis,1,Anaphylactic reaction,34084-4,10002218,10002198,c7d0b43c-7250-4809-8a05-fcde5862f076,20220726,14,"Adenovirus Type 4 and Type 7 Vaccine, Live","ADENOVIRUS TYPE 4 AND TYPE 7 VACCINE, LIVE","Adenovirus Type 4 and Type 7 Vaccine, Live","Adenovirus Type 4 and Type 7 Vaccine, Live",51285-138,https://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/c7d0b43c-7250-4809-8a05-fcde5862f076/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=c7d0b43c-7250-4809-8a05-fcde5862f076
6.0,ADVERSE REACTIONS SECTION,Appendicitis,1,Appendicitis,34084-4,10003011,10003011,c7d0b43c-7250-4809-8a05-fcde5862f076,20220726,14,"Adenovirus Type 4 and Type 7 Vaccine, Live","ADENOVIRUS TYPE 4 AND TYPE 7 VACCINE, LIVE","Adenovirus Type 4 and Type 7 Vaccine, Live","Adenovirus Type 4 and Type 7 Vaccine, Live",51285-138,https://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/c7d0b43c-7250-4809-8a05-fcde5862f076/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=c7d0b43c-7250-4809-8a05-fcde5862f076
6.0,ADVERSE REACTIONS SECTION,Arthralgia,2,Arthralgia,34084-4,10003239,10003239,c7d0b43c-7250-4809-8a05-fcde5862f076,20220726,14,"Adenovirus Type 4 and Type 7 Vaccine, Live","ADENOVIRUS TYPE 4 AND TYPE 7 VACCINE, LIVE","Adenovirus Type 4 and Type 7 Vaccine, Live","Adenovirus Type 4 and Type 7 Vaccine, Live",51285-138,https://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/c7d0b43c-7250-4809-8a05-fcde5862f076/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=c7d0b43c-7250-4809-8a05-fcde5862f076
6.0,ADVERSE REACTIONS SECTION,Chills,1,Chills,34084-4,10008531,10008531,c7d0b43c-7250-4809-8a05-fcde5862f076,20220726,14,"Adenovirus Type 4 and Type 7 Vaccine, Live","ADENOVIRUS TYPE 4 AND TYPE 7 VACCINE, LIVE","Adenovirus Type 4 and Type 7 Vaccine, Live","Adenovirus Type 4 and Type 7 Vaccine, Live",51285-138,https://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/c7d0b43c-7250-4809-8a05-fcde5862f076/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=c7d0b43c-7250-4809-8a05-fcde5862f076
6.0,ADVERSE REACTIONS SECTION,Cough,4,Cough,34084-4,10011224,10011224,c7d0b43c-7250-4809-8a05-fcde5862f076,20220726,14,"Adenovirus Type 4 and Type 7 Vaccine, Live","ADENOVIRUS TYPE 4 AND TYPE 7 VACCINE, LIVE","Adenovirus Type 4 and Type 7 Vaccine, Live","Adenovirus Type 4 and Type 7 Vaccine, Live",51285-138,https://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/c7d0b43c-7250-4809-8a05-fcde5862f076/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=c7d0b43c-7250-4809-8a05-fcde5862f076
6.0,ADVERSE REACTIONS SECTION,Diarrhea,3,Diarrhoea,34084-4,10012727,10012735,c7d0b43c-7250-4809-8a05-fcde5862f076,20220726,14,"Adenovirus Type 4 and Type 7 Vaccine, Live","ADENOVIRUS TYPE 4 AND TYPE 7 VACCINE, LIVE","Adenovirus Type 4 and Type 7 Vaccine, Live","Adenovirus Type 4 and Type 7 Vaccine, Live",51285-138,https://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/c7d0b43c-7250-4809-8a05-fcde5862f076/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=c7d0b43c-7250-4809-8a05-fcde5862f076
6.0,ADVERSE REACTIONS SECTION,Fever,1,Pyrexia,34084-4,10016558,10037660,c7d0b43c-7250-4809-8a05-fcde5862f076,20220726,14,"Adenovirus Type 4 and Type 7 Vaccine, Live","ADENOVIRUS TYPE 4 AND TYPE 7 VACCINE, LIVE","Adenovirus Type 4 and Type 7 Vaccine, Live","Adenovirus Type 4 and Type 7 Vaccine, Live",51285-138,https://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/c7d0b43c-7250-4809-8a05-fcde5862f076/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=c7d0b43c-7250-4809-8a05-fcde5862f076
6.0,ADVERSE REACTIONS SECTION,Gastritis,2,Gastritis,34084-4,10017853,10017853,c7d0b43c-7250-4809-8a05-fcde5862f076,20220726,14,"Adenovirus Type 4 and Type 7 Vaccine, Live","ADENOVIRUS TYPE 4 AND TYPE 7 VACCINE, LIVE","Adenovirus Type 4 and Type 7 Vaccine, Live","Adenovirus Type 4 and Type 7 Vaccine, Live",51285-138,https://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/c7d0b43c-7250-4809-8a05-fcde5862f076/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=c7d0b43c-7250-4809-8a05-fcde5862f076
6.0,ADVERSE REACTIONS SECTION,Gastroenteritis,4,Gastroenteritis,34084-4,10017888,10017888,c7d0b43c-7250-4809-8a05-fcde5862f076,20220726,14,"Adenovirus Type 4 and Type 7 Vaccine, Live","ADENOVIRUS TYPE 4 AND TYPE 7 VACCINE, LIVE","Adenovirus Type 4 and Type 7 Vaccine, Live","Adenovirus Type 4 and Type 7 Vaccine, Live",51285-138,https://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/c7d0b43c-7250-4809-8a05-fcde5862f076/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=c7d0b43c-7250-4809-8a05-fcde5862f076
6.0,ADVERSE REACTIONS SECTION,Guillain Barre syndrome,1,Guillain-Barre syndrome,34084-4,10018766,10018767,c7d0b43c-7250-4809-8a05-fcde5862f076,20220726,14,"Adenovirus Type 4 and Type 7 Vaccine, Live","ADENOVIRUS TYPE 4 AND TYPE 7 VACCINE, LIVE","Adenovirus Type 4 and Type 7 Vaccine, Live","Adenovirus Type 4 and Type 7 Vaccine, Live",51285-138,https://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/c7d0b43c-7250-4809-8a05-fcde5862f076/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=c7d0b43c-7250-4809-8a05-fcde5862f076
6.0,ADVERSE REACTIONS SECTION,Guillain-Barre syndrome,1,Guillain-Barre syndrome,34084-4,10018767,10018767,c7d0b43c-7250-4809-8a05-fcde5862f076,20220726,14,"Adenovirus Type 4 and Type 7 Vaccine, Live","ADENOVIRUS TYPE 4 AND TYPE 7 VACCINE, LIVE","Adenovirus Type 4 and Type 7 Vaccine, Live","Adenovirus Type 4 and Type 7 Vaccine, Live",51285-138,https://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/c7d0b43c-7250-4809-8a05-fcde5862f076/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=c7d0b43c-7250-4809-8a05-fcde5862f076
