HLGT CODE,HLGT NAME
10000073,Abdominal hernias and other abdominal wall conditions
10000211,Abortions and stillbirth
10000485,Acid-base disorders
10000546,Metabolism disorders NEC
10001302,Adjustment disorders (incl subtypes)
10001316,Administration site reactions
10001353,Adrenal gland disorders
10001474,Age related factors
10001708,Allergic conditions
10002086,Anaemias nonhaemolytic and marrow depression
10002112,Anal and rectal conditions NEC
10002252,Ancillary infectious topics
10002363,Aneurysms and artery dissections
10002426,Angioedema and urticaria
10002693,"Anterior eye structural change, deposit and degeneration"
10002861,Anxiety disorders and symptoms
10003018,Appetite and general nutritional disorders
10003184,Vascular therapeutic procedures
10003216,"Arteriosclerosis, stenosis, vascular insufficiency and necrosis"
10003816,Autoimmune disorders
10004018,Bacterial infectious disorders
10004606,Bile duct disorders
10004994,Bladder and bladder neck disorders (excl calculi)
10005330,Blood and lymphatic system disorders congenital
10005908,Body temperature conditions
10005942,Bone and joint injuries
10005944,Bone and joint therapeutic procedures
10005959,Bone disorders (excl congenital and fractures)
10006232,Breast disorders
10006288,Breast neoplasms benign (incl nipple)
10006291,Breast neoplasms malignant and unspecified (incl nipple)
10006295,Breast therapeutic procedures
10006436,Bronchial disorders (excl neoplasms)
10007510,Cardiac and vascular disorders congenital
10007512,Cardiac and vascular investigations (excl enzyme tests)
10007521,Cardiac arrhythmias
10007590,Cardiac neoplasms
10007593,Cardiac therapeutic procedures
10007867,Tissue disorders NEC
10007951,Central nervous system infections and inflammations
10007963,Central nervous system vascular disorders
10008401,Changes in physical activity
10008555,Chlamydial infectious disorders
10009720,"Nervous system, skull and spine therapeutic procedures"
10009841,Cognitive and attention disorders and disturbances
10010118,Communication disorders and disturbances
10010273,"Pregnancy, labour, delivery and postpartum conditions"
10010335,Congenital and peripartum neurological conditions
10010394,Congenital cardiac disorders
10010449,Congenital ear disorders (excl deafness)
10010463,Congenital eye disorders (excl glaucoma)
10010612,Congenital reproductive tract and breast disorders
10010613,Congenital respiratory tract disorders
10010761,Connective tissue disorders (excl congenital)
10011063,Cornification and dystrophic skin disorders
10011082,Coronary artery disorders
10011305,Cranial nerve disorders (excl neoplasms)
10011954,Decreased and nonspecific blood pressure disorders and shock
10012221,Deliria (incl confusion)
10012272,Dementia and amnestic conditions
10012303,Demyelinating disorders
10012375,Depressed mood disorders and disturbances
10012562,Developmental disorders NEC
10012653,Diabetic complications
10013296,"Bone, calcium, magnesium and phosphorus metabolism disorders"
10013317,Lipid metabolism disorders
10013326,Menstrual cycle and uterine bleeding disorders
10013355,Penile and scrotal disorders (excl infections and inflammations)
